Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,431600,576700,1222300,650000,889000
Alaska,61700,93700,176700,91000,97200
Arizona,684600,882800,1747200,860100,1363300
Arkansas,271200,328100,736500,375500,523900
California,3411100,5098000,10166400,4644900,6061800
Colorado,511800,806400,1538600,680600,897500
Connecticut,289700,401900,903000,509400,645600
Delaware,73500,116400,234700,142100,209000
District of Columbia,56900,126600,181200,61600,85600
Florida,1732500,2442100,5449000,2962000,4690800
Georgia,972200,1286300,2812800,1323500,1605900
Hawaii,99000,151500,352700,175200,290600
Idaho,169500,218300,469300,222500,321700
Illinois,1081600,1509800,3198800,1587300,2101000
Indiana,614000,788300,1653500,852600,1117000
Iowa,277200,360400,755800,401100,562900
Kansas,267900,322500,692900,351600,489700
Kentucky,385300,512400,1100600,580500,766100
Louisiana,385300,522900,1113600,572100,757800
Maine,93400,151700,338300,210600,303200
Maryland,479200,708300,1588200,819100,1017700
Massachusetts,581100,862400,1752100,949200,1226400
Michigan,896600,1161100,2403000,1357100,1834000
Minnesota,478900,679700,1420600,739600,959100
Mississippi,256400,305600,711600,357600,497200
Missouri,525700,712000,1482800,793000,1076700
Montana,95500,126700,264700,142900,220300
Nebraska,172200,220600,477400,231400,323400
Nevada,259100,400200,830400,387100,534300
New Hampshire,103100,166300,340400,217400,272400
New Jersey,734000,1055200,2410300,1248400,1575100
New Mexico,189400,235000,505500,257500,399900
New York,1624400,2462200,4913700,2601800,3472900
North Carolina,887600,1235000,2663100,1353600,1822000
North Dakota,73500,97300,179200,89500,124100
Ohio,978400,1367400,2842900,1532900,2092700
Oklahoma,350200,470900,968800,465200,642400
Oregon,344000,532000,1109300,509800,801200
Pennsylvania,1005600,1494800,3125000,1752200,2461100
Rhode Island,89400,134900,263400,152100,198800
South Carolina,431000,573000,1280400,691400,987100
South Dakota,69900,100300,206200,115000,158200
Tennessee,602400,843000,1752700,905000,1188100
Texas,2792100,3784500,7780800,3262900,3949100
Utah,380300,433500,830100,308300,400100
Vermont,47800,71500,155200,93700,135700
Virginia,713300,985300,2175800,1099300,1429300
Washington,637700,1030200,2029500,925500,1284600
West Virginia,143500,178600,427300,238100,367600
Wisconsin,503100,661000,1422200,810200,1074200
Wyoming,43000,64200,143400,72800,105500
