Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,430500,536200,1207200,645600,783600
Alaska,63500,97900,183600,92400,80500
Arizona,637200,815200,1677000,839900,1185700
Arkansas,265200,329800,726600,377100,480600
California,3697900,5240600,10277900,4720500,5413200
Colorado,492600,757900,1451700,697400,761700
Connecticut,297600,394900,927200,509500,578400
Delaware,78500,110500,231500,132900,170100
District of Columbia,64200,141500,176600,68200,81600
Florida,1698300,2330300,5217900,2777200,4146300
Georgia,908000,1216400,2754900,1257200,1372700
Hawaii,100400,169700,341900,182000,249600
Idaho,150200,190100,410500,212000,259700
Illinois,1114500,1554000,3288200,1654300,1878200
Indiana,593900,753400,1651400,859000,988500
Iowa,273500,348700,753800,415400,499600
Kansas,263400,330000,687500,371900,430900
Kentucky,377400,492700,1119700,590100,684800
Louisiana,424700,551400,1139300,594900,675100
Maine,92500,143000,335100,209400,258800
Maryland,500100,723100,1598700,807300,876000
Massachusetts,568000,863800,1765200,922400,1072200
Michigan,896700,1111900,2462600,1393300,1624500
Minnesota,463800,677000,1407900,744000,827600
Mississippi,273400,303900,731900,377300,451200
Missouri,510800,720200,1479400,813300,973400
Montana,95000,115500,246100,151200,184600
Nebraska,167300,229600,453800,243500,282100
Nevada,257000,374200,788600,367700,455300
New Hampshire,104700,147400,345600,208300,226900
New Jersey,734100,1026100,2420300,1207500,1376400
New Mexico,191500,236800,481700,275600,343900
New York,1761000,2551200,5096700,2573500,3072900
North Carolina,847500,1158700,2658600,1301900,1587700
North Dakota,75100,98500,171900,97600,105700
Ohio,987700,1331700,2860600,1600400,1865100
Oklahoma,342600,463900,934700,486500,581000
Oregon,343700,524300,1051600,544500,696000
Pennsylvania,1028600,1466600,3152500,1796600,2198200
Rhode Island,94600,126200,263400,146900,169900
South Carolina,418700,554800,1246100,661400,849200
South Dakota,72000,104100,196700,114400,135800
Tennessee,560900,791900,1706900,874700,1042400
Texas,2612700,3587100,7243100,3155200,3363600
Utah,325400,398900,736000,296800,329800
Vermont,52500,65500,151900,96300,114300
Virginia,717900,9.83E+05,2188700,1079500,1245700
Washington,628700,965900,1899400,949100,1095000
West Virginia,148600,178300,448700,260600,340900
Wisconsin,495600,643300,1441400,812500,930500
Wyoming,48500,69400,133100,81500,88300
