Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,427300,541700,1220600,636800,763200
Alaska,72600,101200,179500,94000,73500
Arizona,636200,796100,1664400,820100,1159600
Arkansas,262600,328000,727600,373600,471600
California,3747200,5122900,10263600,4640800,5257600
Colorado,502300,726700,1446200,691300,728900
Connecticut,305100,380800,942200,501300,555900
Delaware,74500,112000,233900,130700,162900
District of Columbia,65800,135800,173900,69000,76500
Florida,1706000,2277100,5140000,2699100,4024300
Georgia,907900,1209700,2730400,1217700,1330400
Hawaii,111500,168000,346000,183500,239300
Idaho,146000,195400,398600,205300,253200
Illinois,1125300,1560100,3333500,1638300,1809500
Indiana,602900,738100,1655500,858200,955400
Iowa,276700,350500,761100,409900,492800
Kansas,271200,327000,697200,367100,416800
Kentucky,385100,485100,1129300,587300,663900
Louisiana,420200,569000,1143100,590300,654600
Maine,93200,137700,340300,208100,249700
Maryland,496500,726500,1602300,784000,853200
Massachusetts,583400,836100,1775300,907200,1038100
Michigan,909600,1092800,2486200,1384400,1569300
Minnesota,456800,669100,1408200,733800,801600
Mississippi,272400,314900,735600,373000,436200
Missouri,514400,693200,1509500,807600,936300
Montana,93300,110000,242200,153400,181000
Nebraska,172800,219500,461800,238400,274200
Nevada,256700,366500,769600,361500,436700
New Hampshire,106400,139200,352900,203600,218100
New Jersey,743200,1007100,2429000,1182700,1335600
New Mexico,188800,239800,492300,271200,334900
New York,1785100,2520400,5142900,2544000,2935400
North Carolina,852900,1128500,2653200,1287900,1524500
North Dakota,77400,98100,174800,95000,104200
Ohio,982400,1307500,2891500,1594700,1817500
Oklahoma,349300,464500,935700,482500,569500
Oregon,352400,509800,1034000,544500,678800
Pennsylvania,1043600,1465400,3173800,1789000,2143000
Rhode Island,97300,121500,266800,146500,165700
South Carolina,417000,555100,1231700,651200,811800
South Dakota,73500,102800,194500,114400,131000
Tennessee,568700,764400,1710800,856600,1016900
Texas,2623000,3540400,7108400,3078400,3255900
Utah,323000,393900,714400,290000,315500
Vermont,50800,63700,156500,95100,111400
Virginia,708400,9.76E+05,2195400,1072000,1201400
Washington,635600,926300,1882200,940200,1062100
West Virginia,152100,184800,459000,263800,335100
Wisconsin,504600,646600,1448700,807500,898800
Wyoming,50400,68800,139400,80400,85200
