Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,419500,554400,1192600,646800,811000
Alaska,62200,93400,182800,94100,85500
Arizona,645900,841100,1702900,862200,1245900
Arkansas,255200,345400,722800,380200,489100
California,3594300,5299700,10212700,4737800,5576600
Colorado,495000,771700,1471200,700700,794800
Connecticut,291600,387100,918600,510400,590900
Delaware,76700,109700,233100,134400,177900
District of Columbia,64400,141400,179400,69900,82600
Florida,1680500,2401900,5240300,2829800,4293700
Georgia,901500,1262600,2743500,1268300,1426400
Hawaii,98400,167600,340100,178500,258100
Idaho,150600,203200,414500,212900,275900
Illinois,1103100,1543200,3251000,1649800,1925700
Indiana,585500,762900,1648200,865400,1015400
Iowa,272000,352500,747900,411700,517900
Kansas,260300,325200,688300,371700,441600
Kentucky,388100,501600,1104200,591000,711100
Louisiana,408800,549800,1125800,592700,699600
Maine,93700,140400,332500,214300,267900
Maryland,491800,712200,1573200,808400,906300
Massachusetts,581700,873100,1753300,936100,1103100
Michigan,890600,1151100,2431200,1392900,1676000
Minnesota,458400,685900,1398200,752600,857200
Mississippi,262100,326400,717600,377300,461000
Missouri,519900,714300,1470900,823200,1000600
Montana,84500,118800,247800,152000,198000
Nebraska,161600,224800,460200,242200,291700
Nevada,251100,386200,791200,373600,473900
New Hampshire,106400,146700,341300,212100,237200
New Jersey,725800,1002400,2365900,1205500,1403100
New Mexico,186400,239200,484500,271000,364300
New York,1648400,2552500,4945500,2573600,3114200
North Carolina,848600,1179600,2653900,1330700,1648100
North Dakota,78600,99300,170000,96800,109600
Ohio,973600,1345900,2850100,1597400,1926100
Oklahoma,333200,479300,932800,484900,598400
Oregon,347300,531100,1066100,539100,729300
Pennsylvania,1027000,1475100,3119700,1794800,2251300
Rhode Island,92700,128900,262200,147700,175000
South Carolina,423000,558000,1243300,673500,880900
South Dakota,77100,96400,200300,116700,139000
Tennessee,571500,788700,1709100,884500,1074700
Texas,2642800,3631000,7333600,3200800,3510700
Utah,337300,403600,756700,298400,343200
Vermont,48400,68700,151600,95700,119200
Virginia,702300,9.97E+05,2167600,1086400,1295800
Washington,622000,1023700,1913600,955800,1142800
West Virginia,143300,184300,443100,255300,352700
Wisconsin,489400,644200,1446800,817100,955800
Wyoming,46600,67500,136700,78800,94900
