Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,424900,544800,1232300,631600,746000
Alaska,78800,96300,177800,92400,70800
Arizona,631300,779700,1661800,804400,1105300
Arkansas,259900,334700,738300,369900,458600
California,3816900,5070900,10311100,4590600,5097700
Colorado,496000,723500,1421700,678500,694700
Connecticut,304000,376100,966000,493400,543700
Delaware,82200,105700,236900,126300,155500
District of Columbia,66300,134800,171400,70600,71600
Florida,1710900,2213200,5121000,2628500,3875200
Georgia,914700,1184900,2741400,1201400,1262700
Hawaii,120800,170400,342900,178900,232100
Idaho,147900,186300,397600,202000,237100
Illinois,1175400,1549800,3387900,1622000,1766500
Indiana,607400,730400,1679100,844700,929600
Iowa,278600,348900,760100,410700,478000
Kansas,261900,334300,706000,365600,406800
Kentucky,385700,481200,1142800,584300,651700
Louisiana,434100,572700,1146300,588200,632500
Maine,103000,129600,347800,207900,245300
Maryland,530000,709200,1618000,777100,820800
Massachusetts,595200,818300,1802900,903700,1003400
Michigan,919100,1074100,2526500,1362100,1537600
Minnesota,458100,671100,1421000,722700,770900
Mississippi,272600,315100,742700,370000,428600
Missouri,547100,685100,1514600,801300,914200
Montana,92600,114600,244200,150300,174000
Nebraska,172100,218400,457900,236400,267900
Nevada,254900,359100,769200,351000,419300
New Hampshire,106600,135100,359400,201600,210300
New Jersey,753700,1003000,2470200,1171400,1302500
New Mexico,189400,236500,494500,269500,325900
New York,1822200,2503400,5223900,2518700,2873900
North Carolina,871200,1119400,2634300,1258100,1472700
North Dakota,78300,99100,174300,93900,102100
Ohio,995900,1295600,2946300,1573500,1771500
Oklahoma,343000,466300,942300,478700,557700
Oregon,350800,488300,1032500,542700,651400
Pennsylvania,1065700,1427900,3236200,1776400,2103800
Rhode Island,97300,122000,271300,143900,161200
South Carolina,444800,530600,1228900,637500,776800
South Dakota,73500,98500,199400,112500,128100
Tennessee,581200,746800,1711000,850600,986000
Texas,2601500,3445000,7092600,3017900,3133700
Utah,324800,385800,703900,280700,303800
Vermont,49800,67900,160100,97700,106100
Virginia,720800,9.76E+05,2209100,1048700,1159900
Washington,634300,912500,1857300,925400,1012400
West Virginia,154300,185400,469500,267500,327300
Wisconsin,496800,642500,1486500,793800,872500
Wyoming,52200,70100,139000,80800,81000
