Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,426600,552500,1229000,669700,865500
Alaska,59200,92100,180200,87200,95800
Arizona,625700,875200,1737900,869500,1324300
Arkansas,256500,336700,725900,382800,511700
California,3356200,5136800,10201100,4735800,5876100
Colorado,484600,799000,1530100,697400,867100
Connecticut,291300,400200,905800,514700,631700
Delaware,75900,110100,237100,143200,195600
District of Columbia,50200,133200,175900,65000,83600
Florida,1643400,2386900,5354600,2952500,4537000
Georgia,905700,1278100,2789500,1322900,1558700
Hawaii,96500,157500,343800,180700,278700
Idaho,159600,218100,463200,226100,310900
Illinois,1048500,1502200,3234700,1630300,2047600
Indiana,587300,785200,1657700,861900,1084400
Iowa,274500,345200,756200,414100,548300
Kansas,259000,322500,697700,368600,472000
Kentucky,378500,506600,1098700,595400,750100
Louisiana,398200,522600,1114000,582900,750300
Maine,90600,151400,337800,211700,290900
Maryland,468300,717600,1590400,829900,982700
Massachusetts,552900,877600,1761500,955500,1183700
Michigan,868400,1165000,2410600,1389200,1789000
Minnesota,457700,664500,1433400,747000,937200
Mississippi,255800,303600,717200,370400,486100
Missouri,498900,703600,1487000,817200,1052400
Montana,95400,123300,255200,148200,213100
Nebraska,166900,224400,467700,239100,313600
Nevada,249500,398100,819900,388600,514600
New Hampshire,102600,160700,341800,215400,260100
New Jersey,717700,1063900,2412100,1274300,1528000
New Mexico,172600,239300,498900,270100,386000
New York,1562200,2493100,4973200,2673500,3385600
North Carolina,849800,1193400,2661700,1353200,1765600
North Dakota,72900,93800,176900,91700,118400
Ohio,964500,1363400,2837300,1572200,2042100
Oklahoma,345800,452900,960400,479400,630800
Oregon,341700,528700,1109300,523800,780200
Pennsylvania,972800,1507100,3145800,1792400,2391100
Rhode Island,89200,130800,268200,154100,192600
South Carolina,412600,574200,1254400,690400,951900
South Dakota,77800,94800,199300,116400,151000
Tennessee,575000,829300,1742400,907700,1164200
Texas,2632100,3736900,7619000,3281900,3831500
Utah,353700,431800,819600,308000,383900
Vermont,51000,68200,154700,96600,129700
Virginia,685300,988000,2189200,1112600,1383100
Washington,622600,1026100,1999100,950800,1233400
West Virginia,143300,175500,436200,247900,362700
Wisconsin,491200,656700,1435400,829200,1032100
Wyoming,47900,58500,145200,74400,102200
