Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,414500,549500,1195300,645000,834700
Alaska,65300,97500,172900,92800,91500
Arizona,656800,860500,1708100,877500,1293600
Arkansas,253500,335600,723700,383200,505700
California,3539800,5288800,10152200,4751600,5739000
Colorado,498900,792000,1488600,706600,831300
Connecticut,297800,390500,895300,510600,610400
Delaware,75900,111000,227200,135700,185200
District of Columbia,60600,144700,180800,69200,85300
Florida,1680200,2399400,5236000,2872900,4426900
Georgia,917200,1252700,2744000,1284300,1493300
Hawaii,96200,155600,342900,177500,265000
Idaho,148300,210100,423000,218100,283500
Illinois,1070400,1556300,3193400,1635400,1981300
Indiana,593300,771600,1628100,870700,1046300
Iowa,272600,349600,743900,416000,531600
Kansas,257400,324900,678500,368000,460300
Kentucky,383900,491400,1096100,592200,732800
Louisiana,393800,552100,1113600,593300,721800
Maine,97100,142900,328000,208900,277700
Maryland,474900,720900,1559300,811700,938700
Massachusetts,581200,875600,1730600,935300,1135900
Michigan,884100,1151600,2398300,1391200,1728600
Minnesota,451900,690600,1387600,752800,891100
Mississippi,254000,315500,719900,376200,474400
Missouri,504400,721400,1462200,824200,1024300
Montana,88300,118100,245200,149100,204100
Nebraska,164300,229300,448800,241300,302600
Nevada,250700,396800,795100,381500,493000
New Hampshire,102700,150800,339100,213700,244100
New Jersey,711700,1015000,2321300,1212800,1438400
New Mexico,183500,238100,485800,269900,373600
New York,1632400,2537700,4850700,2579200,3200300
North Carolina,870500,1192200,2635400,1345800,1711300
North Dakota,74500,100400,169900,93200,114000
Ohio,964100,1355100,2819400,1588300,1973700
Oklahoma,349100,471600,927700,487600,610700
Oregon,347500,529800,1078300,532400,757100
Pennsylvania,976800,1520200,3071300,1790900,2311300
Rhode Island,89100,129300,256900,150800,180800
South Carolina,409100,578700,1241500,689000,918700
South Dakota,70100,98100,199900,115900,148200
Tennessee,574000,820300,1687000,890200,1108800
Texas,2647900,3687100,7375600,3233100,3654400
Utah,342700,414800,764200,3.00E+05,361200
Vermont,51200,66400,147900,94400,121800
Virginia,684600,9.81E+05,2165300,1104300,1332800
Washington,619900,1028200,1926900,954000,1187800
West Virginia,140600,182300,437000,254000,357200
Wisconsin,483000,658400,1423000,813700,991400
Wyoming,46800,65800,136100,75700,96800
